# Format : nbPreys, nbPredators, nbTrees, nbTreesBurning, nbGrasses
197,1,571,12359,0,7036
198,1,578,12361,0,7036
199,1,575,12364,0,7036
200,0,566,12366,0,7036
201,1,572,12371,0,7036
202,1,571,12375,0,7036
203,1,580,12375,0,7036
204,1,572,12375,0,7036
205,1,580,12376,0,7036
206,0,574,12377,0,7036
207,1,578,12378,0,7036
208,1,578,12382,0,7036
209,0,571,12383,0,7036
210,1,567,12385,0,7036
211,1,571,12386,0,7036
212,0,570,12389,0,7036
213,1,569,12390,0,7036
214,1,571,12392,0,7036
215,1,574,12395,0,7036
216,1,570,12396,0,7036
217,1,569,12399,0,7036
218,1,570,12400,0,7036
219,1,570,12404,0,7036
220,1,570,12405,0,7036
221,1,564,12406,0,7036
222,1,570,12409,0,7036
223,1,577,12412,0,7036
224,1,570,12413,0,7036
225,0,573,12413,0,7036
226,0,568,12415,0,7036
227,1,571,12416,0,7036
228,1,572,12417,0,7036
229,1,578,12419,0,7036
230,1,562,12420,0,7036
231,1,565,12422,0,7036
232,0,568,12424,0,7036
233,0,573,12424,0,7036
234,0,577,12426,0,7036
235,1,571,12427,0,7036
236,0,570,12427,0,7036
237,1,568,12429,0,7036
238,1,565,12431,0,7036
239,1,573,12431,0,7036
240,1,570,12433,0,7036
241,0,575,12434,0,7036
242,0,571,12438,0,7036
243,1,573,12439,0,7036
244,1,571,12439,0,7036
245,1,573,12441,0,7036
246,1,568,12442,0,7036
247,0,568,12445,0,7036
248,0,568,12446,0,7036
249,1,567,12447,0,7036
250,1,570,12449,1,7036
251,1,562,12450,1,7036
252,1,565,12451,1,7036
253,0,564,12452,2,7036
254,1,571,12455,3,7036
255,1,578,12455,3,7036
256,1,574,12456,4,7036
257,1,577,12456,4,7036
258,1,566,12458,4,7036
259,1,572,12458,5,7036
260,1,571,12459,5,7036
261,1,572,12460,6,7036
262,1,569,12461,6,7036
263,0,576,12460,7,7036
264,1,576,12460,7,7036
265,0,572,12461,7,7036
266,1,566,12463,7,7036
267,1,568,12465,8,7036
268,1,571,12469,8,7036
269,1,566,12470,8,7036
270,1,566,12473,8,7036
271,1,565,12473,9,7036
272,1,576,12475,9,7036
273,1,574,12477,9,7036
274,0,568,12475,12,7036
275,1,567,12476,12,7036
276,1,568,12476,12,7036
277,1,576,12477,12,7036
278,0,565,12481,12,7036
279,1,569,12483,12,7036
280,0,571,12483,14,7036
281,1,575,12483,15,7036
282,1,573,12484,15,7036
283,1,576,12485,15,7036
284,1,578,12484,17,7036
285,0,567,12485,18,7036
286,0,564,12486,19,7036
287,1,570,12485,20,7036
288,1,572,12485,21,7036
289,1,568,12488,22,7036
290,1,574,12490,22,7036
291,1,573,12493,22,7036
292,1,576,12493,23,7036
293,1,573,12495,23,7036
294,0,578,12498,23,7036
295,0,573,12500,23,7036
296,1,575,12501,23,7036
297,0,577,12500,25,7036
298,1,570,12504,25,7036
299,1,567,12504,26,7036
300,1,575,12508,26,7036
301,0,563,12509,26,7036
302,1,561,12510,26,7036
303,1,568,12510,26,7036
304,1,573,12510,26,7036
305,1,566,12515,26,7036
306,0,567,12520,26,7036
307,0,569,12522,26,7036
308,0,576,12525,26,7036
309,1,576,12525,26,7036
310,1,565,12528,26,7036
311,0,559,12529,26,7036
312,1,563,12532,26,7036
313,0,582,12533,26,7036
314,1,573,12534,26,7036
315,1,562,12534,26,7036
316,0,569,12535,26,7036
317,1,571,12535,26,7036
318,1,573,12536,26,7036
319,1,566,12540,26,7036
320,1,571,12541,26,7036
321,0,568,12544,26,7036
322,1,569,12544,26,7036
323,1,566,12545,26,7036
324,1,563,12548,26,7036
325,1,566,12549,26,7036
326,0,574,12550,26,7036
