01-01,0844,1704
01-02,0844,1705
01-03,0844,1707
01-04,0844,1708
01-05,0843,1709
01-06,0843,1710
01-07,0843,1711
01-08,0842,1712
01-09,0842,1713
01-10,0842,1715
01-11,0841,1716
01-12,0841,1717
01-13,0840,1719
01-14,0839,1720
01-15,0839,1722
01-16,0838,1723
01-17,0837,1724
01-18,0836,1726
01-19,0835,1727
01-20,0834,1729
01-21,0834,1730
01-22,0833,1732
01-23,0831,1733
01-24,0830,1735
01-25,0829,1737
01-26,0828,1738
01-27,0827,1740
01-28,0826,1741
01-29,0824,1743
01-30,0823,1745
01-31,0822,1746
02-01,0821,1748
02-02,0819,1750
02-03,0818,1751
02-04,0816,1753
02-05,0815,1754
02-06,0813,1756
02-07,0812,1758
02-08,0810,1759
02-09,0809,1801
02-10,0807,1803
02-11,0805,1804
02-12,0804,1806
02-13,0802,1808
02-14,0800,1809
02-15,0759,1811
02-16,0757,1813
02-17,0755,1814
02-18,0753,1816
02-19,0751,1818
02-20,0750,1819
02-21,0748,1821
02-22,0746,1822
02-23,0744,1824
02-24,0742,1826
02-25,0740,1827
02-26,0738,1829
02-27,0736,1830
02-28,0734,1832
02-29,0734,1832
03-01,0732,1834
03-02,0730,1835
03-03,0728,1837
03-04,0726,1838
03-05,0724,1840
03-06,0722,1841
03-07,0720,1843
03-08,0718,1845
03-09,0716,1846
03-10,0714,1848
03-11,0712,1849
03-12,0710,1851
03-13,0708,1852
03-14,0706,1854
03-15,0704,1855
03-16,0702,1857
03-17,0700,1858
03-18,0657,1900
03-19,0655,1901
03-20,0653,1903
03-21,0651,1905
03-22,0649,1906
03-23,0647,1908
03-24,0645,1909
03-25,0743,2011
03-26,0741,2012
03-27,0739,2014
03-28,0736,2015
03-29,0734,2017
03-30,0732,2018
03-31,0730,2020
04-01,0728,2021
04-02,0726,2023
04-03,0724,2024
04-04,0722,2025
04-05,0720,2027
04-06,0718,2028
04-07,0716,2030
04-08,0714,2031
04-09,0712,2033
04-10,0710,2034
04-11,0707,2036
04-12,0705,2037
04-13,0703,2039
04-14,0701,2040
04-15,0700,2042
04-16,0658,2043
04-17,0656,2045
04-18,0654,2046
04-19,0652,2048
04-20,0650,2049
04-21,0648,2051
04-22,0646,2052
04-23,0644,2054
04-24,0642,2055
04-25,0640,2057
04-26,0639,2058
04-27,0637,2100
04-28,0635,2101
04-29,0633,2103
04-30,0632,2104
05-01,0630,2106
05-02,0628,2107
05-03,0627,2108
05-04,0625,2110
05-05,0623,2111
05-06,0622,2113
05-07,0620,2114
05-08,0619,2116
05-09,0617,2117
05-10,0616,2118
05-11,0614,2120
05-12,0613,2121
05-13,0611,2123
05-14,0610,2124
05-15,0609,2125
05-16,0607,2127
05-17,0606,2128
05-18,0605,2129
05-19,0604,2131
05-20,0603,2132
05-21,0601,2133
05-22,0600,2134
05-23,0559,2136
05-24,0558,2137
05-25,0557,2138
05-26,0556,2139
05-27,0555,2140
05-28,0555,2141
05-29,0554,2142
05-30,0553,2143
05-31,0552,2144
06-01,0552,2145
06-02,0551,2146
06-03,0550,2147
06-04,0550,2148
06-05,0549,2149
06-06,0549,2150
06-07,0548,2151
06-08,0548,2152
06-09,0548,2152
06-10,0547,2153
06-11,0547,2154
06-12,0547,2154
06-13,0547,2155
06-14,0547,2155
06-15,0546,2156
06-16,0546,2156
06-17,0546,2157
06-18,0547,2157
06-19,0547,2157
06-20,0547,2158
06-21,0547,2158
06-22,0547,2158
06-23,0548,2158
06-24,0548,2158
06-25,0548,2158
06-26,0549,2158
06-27,0549,2158
06-28,0550,2158
06-29,0550,2158
06-30,0551,2158
07-01,0551,2158
07-02,0552,2158
07-03,0553,2157
07-04,0553,2157
07-05,0554,2156
07-06,0555,2156
07-07,0556,2155
07-08,0557,2155
07-09,0557,2154
07-10,0558,2154
07-11,0559,2153
07-12,0600,2152
07-13,0601,2152
07-14,0602,2151
07-15,0603,2150
07-16,0604,2149
07-17,0606,2148
07-18,0607,2147
07-19,0608,2146
07-20,0609,2145
07-21,0610,2144
07-22,0611,2143
07-23,0613,2142
07-24,0614,2141
07-25,0615,2139
07-26,0616,2138
07-27,0618,2137
07-28,0619,2136
07-29,0620,2134
07-30,0621,2133
07-31,0623,2131
08-01,0624,2130
08-02,0625,2128
08-03,0627,2127
08-04,0628,2125
08-05,0630,2124
08-06,0631,2122
08-07,0632,2121
08-08,0634,2119
08-09,0635,2117
08-10,0636,2116
08-11,0638,2114
08-12,0639,2112
08-13,0641,2110
08-14,0642,2109
08-15,0643,2107
08-16,0645,2105
08-17,0646,2103
08-18,0648,2101
08-19,0649,2100
08-20,0650,2058
08-21,0652,2056
08-22,0653,2054
08-23,0655,2052
08-24,0656,2050
08-25,0658,2048
08-26,0659,2046
08-27,0700,2044
08-28,0702,2042
08-29,0703,2040
08-30,0705,2038
08-31,0706,2036
09-01,0707,2034
09-02,0709,2032
09-03,0710,2030
09-04,0712,2028
09-05,0713,2026
09-06,0715,2024
09-07,0716,2021
09-08,0717,2019
09-09,0719,2017
09-10,0720,2015
09-11,0722,2013
09-12,0723,2011
09-13,0724,2009
09-14,0726,2007
09-15,0727,2005
09-16,0729,2002
09-17,0730,2000
09-18,0731,1958
09-19,0733,1956
09-20,0734,1954
09-21,0736,1952
09-22,0737,1950
09-23,0739,1947
09-24,0740,1945
09-25,0741,1943
09-26,0743,1941
09-27,0744,1939
09-28,0746,1937
09-29,0747,1935
09-30,0749,1933
10-01,0750,1930
10-02,0752,1928
10-03,0753,1926
10-04,0755,1924
10-05,0756,1922
10-06,0758,1920
10-07,0759,1918
10-08,0800,1916
10-09,0802,1914
10-10,0803,1912
10-11,0805,1910
10-12,0806,1908
10-13,0808,1906
10-14,0809,1904
10-15,0811,1902
10-16,0813,1900
10-17,0814,1858
10-18,0816,1856
10-19,0817,1854
10-20,0819,1852
10-21,0820,1850
10-22,0822,1848
10-23,0823,1847
10-24,0825,1845
10-25,0826,1843
10-26,0828,1841
10-27,0830,1839
10-28,0731,1738
10-29,0733,1736
10-30,0734,1734
10-31,0736,1733
11-01,0738,1731
11-02,0739,1729
11-03,0741,1728
11-04,0742,1726
11-05,0744,1725
11-06,0745,1723
11-07,0747,1722
11-08,0749,1720
11-09,0750,1719
11-10,0752,1717
11-11,0753,1716
